Time,Name,Attachment,Meet Name,Date,Event,Cut,Place
01:59.1,Jason Kim,Irvine Novaquatics,2016 CA CANY Q Meet,2/14/16,200 FR SCY Male,2012-2016 AAA,Prelim 3rd
02:00.3,Jason Kim,Irvine Novaquatics,2015 CA NOVA IMX Meet,10/24/15,200 FR SCY Male,2012-2016 AAA,Final 2nd
02:01.2,Jason Kim,Irvine Novaquatics,2015 CA NOVA v CANY,10/31/15,200 FR SCY Male,2012-2016 AAA,Final 1st
02:01.4,Jason Kim,Irvine Novaquatics,2017 CA NOVA Back to School Meet,9/17/17,200 FR SCY Male,2016-2020 A,Final 11th
02:03.1,Jason Kim,Irvine Novaquatics,2015 CA NOVA Back-to-School Me,9/20/15,200 FR SCY Male,2012-2016 AAA,Final 10th
02:10.5,Jason Kim,Irvine Novaquatics,2014 CA PST/SCS Winter Age Gro,12/13/14,200 FR SCY Male,2012-2016 A,Final 24th
02:14.7,Jason Kim,Irvine Novaquatics,2014 CA NOVAmber Intrasquad Me,11/16/14,200 FR SCY Male,2012-2016 A,Final 5th
02:14.8,Jason Kim,Irvine Novaquatics,"2014 CA GSC ""Summer JOMax"" SCY",7/18/14,200 FR SCY Male,2012-2016 BB,Final 1st
02:19.4,Jason Kim,Irvine Novaquatics,2014 CA NOVA Back-to-School Me,9/20/14,200 FR SCY Male,2012-2016 BB,Final 25th
02:30.9,Jason Kim,Irvine Novaquatics,2014 CA NOVA February BRW Meet,2/22/14,200 FR SCY Male,2012-2016 A,Final 28th
04:56.4,Jason Kim,Irvine Novaquatics,2018 CA NOVA IMX,10/19/18,500 FR SCY Male,2016-2020 AA,Final 23rd
05:05.2,Jason Kim,Irvine Novaquatics,2018 PN Pacific Coast All Star Meet,1/6/18,500 FR SCY Male,2016-2020 AA,Final 12th
05:06.6,Jason Kim,Irvine Novaquatics,2016 CA NOVA IMX Meet,10/23/16,500 FR SCY Male,2016-2020 AA,Final 16th
05:08.9,Jason Kim,Irvine Novaquatics,2017 CA NOVA March SC 'Blue' Meet,3/5/17,500 FR SCY Male,2016-2020 AA,Final 1st
05:17.4,Jason Kim,Irvine Novaquatics,2016 CA CANY Q Meet,2/13/16,500 FR SCY Male,2012-2016 AAA,Final 4th
05:28.3,Jason Kim,Irvine Novaquatics,2016 CA CANY Q Meet,2/13/16,500 FR SCY Male,2012-2016 AAA,Prelim 9th
05:32.4,Jason Kim,Irvine Novaquatics,2015 CA NOVA IMX Meet,10/25/15,500 FR SCY Male,2012-2016 AAA,Final 6th
05:37.9,Jason Kim,Irvine Novaquatics,2015 CA NOVA January Intrasqua,1/11/15,500 FR SCY Male,2012-2016 AA,Final 2nd
05:42.2,Jason Kim,Irvine Novaquatics,2015 CA STAR LEAGUE DUAL MEET:,1/3/15,500 FR SCY Male,2012-2016 AA,Final 7th
05:52.6,Jason Kim,Irvine Novaquatics,2014 CA NOVA v PSP IMX Meet,10/26/14,500 FR SCY Male,2012-2016 A,Final 27th
10:45.0,Jason Kim,Irvine Novaquatics,2016 CA NOVAMBER Intrasquad,11/11/16,1000 FR SCY Male,2016-2020 AA,Final 12th
11:20.3,Jason Kim,Irvine Novaquatics,2015 CA NOVAmber Intrasquad Me,11/15/15,1000 FR SCY Male,2012-2016 AAA,Final 9th
27.47,Jason Kim,Irvine Novaquatics,2018 CA NOVA 'Back to School',9/22/18,50 BK SCY Male,"""Slower than B""",Final 20th
27.89,Jason Kim,Irvine Novaquatics,2017 CA NOVA Back to School Meet,9/16/17,50 BK SCY Male,"""Slower than B""",Final 4th
27.96,Jason Kim,Irvine Novaquatics,2016 CA NOVA Back to School,9/18/16,50 BK SCY Male,"""Slower than B""",Final 2nd
28.63,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,3/31/16,50 BK SCY Male,2012-2016 AAA,Prelim 5th
28.7,Jason Kim,Irvine Novaquatics,2016 CA STAR League Finale,2/6/16,50 BK SCY Male,2012-2016 AAA,Final 1st
28.92,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,3/31/16,50 BK SCY Male,2012-2016 AAA,Final 6th
29.36,Jason Kim,Irvine Novaquatics,2016 OR Pacific Coast All Star,1/10/16,50 BK SCY Male,2012-2016 AAA,Final 8th
30.61,Jason Kim,Irvine Novaquatics,2015 CA SCS - ROSE Club Champions,2/14/15,50 BK SCY Male,2012-2016 AA,Prelim 14th
31.97,Jason Kim,Irvine Novaquatics,2014 CA PST/SCS Winter Age Gro,12/13/14,50 BK SCY Male,2012-2016 A,Final 10th
32.43,Jason Kim,Irvine Novaquatics,2014 CA NOVAmber Intrasquad Me,11/15/14,50 BK SCY Male,2012-2016 A,Final 9th
34.12,Jason Kim,Irvine Novaquatics,2014 CA NOVA Back-to-School Me,9/21/14,50 BK SCY Male,2012-2016 BB,Final 29th
37.43,Jason Kim,Irvine Novaquatics,2014 CA NOVA February BRW Meet,2/22/14,50 BK SCY Male,2012-2016 A,Final 36th
44.71,Jason Kim,Irvine Novaquatics,2013 CA OCSL April Short Course,4/20/13,50 BK SCY Male,2012-2016 B,Final 7th
45.72,Jason Kim,Irvine Novaquatics,2013 CA NOVA OCSL June Meet,6/15/13,50 BK SCY Male,2012-2016 B,Final 7th
47.39,Jason Kim,Irvine Novaquatics,2013 CA OCSL July Meet-2,7/27/13,50 BK SCY Male,2012-2016 B,Final 14th
57.9,Jason Kim,Irvine Novaquatics,2018 CA NOVA 'Back to School',9/23/18,100 BK SCY Male,2016-2020 A,Final 19th
58.21,Jason Kim,Irvine Novaquatics,Bulldog Pentatlhon,10/15/22,100 BK SCY Male,"""Slower than B""",Final 12th
58.71,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/10/16,100 BK SCY Male,2016-2020 AA,Final 5th
59.03,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/19/17,100 BK SCY Male,2016-2020 AA,Prelim 27th
59.06,Jason Kim,Irvine Novaquatics,2016 CA PST/SCS Winter Age Gro,12/10/16,100 BK SCY Male,2016-2020 AA,Prelim 6th
59.39,Jason Kim,Irvine Novaquatics,2017 CA NOVA v ROSE14un DUAL,2/4/17,100 BK SCY Male,2016-2020 A,Final 2nd
59.65,Jason Kim,Irvine Novaquatics,2017 CA NOVA March SC 'Blue' Meet,3/4/17,100 BK SCY Male,2016-2020 A,Final 3rd
01:00.7,Jason Kim,Irvine Novaquatics,2017 CA NOVA January 'Blue' Meet,1/7/17,100 BK SCY Male,2016-2020 A,Final 3rd
01:01.1,Jason Kim,Irvine Novaquatics,2016 CA NOVA Back to School,9/17/16,100 BK SCY Male,2016-2020 A,Final 2nd
01:01.3,Jason Kim,Irvine Novaquatics,2017 CA NOVA Back to School Meet,9/17/17,100 BK SCY Male,2016-2020 A,Final 4th
01:03.4,Jason Kim,Irvine Novaquatics,2016 CA Star League-MVN v.s. NOVA,1/16/16,100 BK SCY Male,2012-2016 AAA,Final 1st
01:03.9,Jason Kim,Irvine Novaquatics,2017 CA Oct 22 NOVA Race Series,10/22/17,100 BK SCY Male,2016-2020 BB,Final 8th
01:04.0,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/5/15,100 BK SCY Male,2012-2016 AAA,
01:04.3,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,4/2/16,100 BK SCY Male,2012-2016 AA,Prelim 26th
01:04.6,Jason Kim,Irvine Novaquatics,2016 OR Pacific Coast All Star,1/9/16,100 BK SCY Male,2012-2016 AA,Final 12th
01:06.6,Jason Kim,Irvine Novaquatics,2015 CA NOVA IMX Meet,10/24/15,100 BK SCY Male,2012-2016 AA,Final 8th
01:07.6,Jason Kim,Irvine Novaquatics,2015 CA NOVAmber Intrasquad Me,11/14/15,100 BK SCY Male,2012-2016 A,Final 34th
01:08.6,Jason Kim,Irvine Novaquatics,2015 CA NOVA January Intrasqua,1/10/15,100 BK SCY Male,2012-2016 A,Final 2nd
01:11.0,Jason Kim,Irvine Novaquatics,"2014 CA GSC ""Summer JOMax"" SCY",7/18/14,100 BK SCY Male,2012-2016 BB,Final 1st
01:11.6,Jason Kim,Irvine Novaquatics,2014 CA NOVA Back-to-School Me,9/20/14,100 BK SCY Male,2012-2016 BB,Final 33rd
01:23.7,Jason Kim,Irvine Novaquatics,2013 CA NOVAmber Intrasquad Me,11/16/13,100 BK SCY Male,2012-2016 BB,Final 59th
01:25.6,Jason Kim,Irvine Novaquatics,2013 CA SCS/PSP Winter Age Gro,12/13/13,100 BK SCY Male,2012-2016 BB,Final 42nd
02:06.1,Jason Kim,Irvine Novaquatics,2017 CA NOVAmber Intrasquad Meet,11/19/17,200 BK SCY Male,2016-2020 AA,Final 2nd
02:07.0,Jason Kim,Irvine Novaquatics,2018 CA NOVA IMX,10/21/18,200 BK SCY Male,2016-2020 A,Final 31st
02:09.5,Jason Kim,Irvine Novaquatics,2021 CA SCS SR#1 CANY-NOVA 1,9/19/21,200 BK SCY Male,"""BB""",Final 11th
02:09.8,Jason Kim,Irvine Novaquatics,2017 CA NOVA March SC 'Blue' Meet,3/5/17,200 BK SCY Male,2016-2020 A,Final 3rd
02:11.3,Jason Kim,Irvine Novaquatics,2016 CA NOVA IMX Meet,10/23/16,200 BK SCY Male,2016-2020 A,Final 20th
02:12.0,Jason Kim,Irvine Novaquatics,2016 CA NOVAMBER Intrasquad,11/13/16,200 BK SCY Male,2016-2020 A,Final 10th
02:13.2,Jason Kim,Irvine Novaquatics,2019 CA SRS NOVA#2-RMDA,9/22/19,200 BK SCY Male,2016-2020 BB,Final
02:14.8,Jason Kim,Irvine Novaquatics,2016 CA CANY Q Meet,2/14/16,200 BK SCY Male,2012-2016 AAA,Final 5th
02:15.6,Jason Kim,Irvine Novaquatics,2016 CA CANY Q Meet,2/14/16,200 BK SCY Male,2012-2016 AAA,Prelim 3rd
02:20.4,Jason Kim,Irvine Novaquatics,2015 CA NOVAmber Intrasquad Me,11/15/15,200 BK SCY Male,2012-2016 AA,Final 19th
02:23.8,Jason Kim,Irvine Novaquatics,2017 CA NOVA January 'Blue' Meet,1/8/17,200 BK SCY Male,2016-2020 BB,Final 19th
29.56,Jason Kim,Irvine Novaquatics,2018 CA NOVA 'Back to School',9/23/18,50 BR SCY Male,"""Slower than B""",Final 14th
31.46,Jason Kim,Irvine Novaquatics,2017 CA NOVA Back to School Meet,9/17/17,50 BR SCY Male,"""Slower than B""",Final 2nd
34.95,Jason Kim,Irvine Novaquatics,2015 CA NOVA Back-to-School Me,9/19/15,50 BR SCY Male,2012-2016 AA,Final 9th
35.14,Jason Kim,Irvine Novaquatics,2015 CA STAR LEAGUE DUAL MEET:,1/3/15,50 BR SCY Male,2012-2016 AA,Final 3rd
35.94,Jason Kim,Irvine Novaquatics,2015 CA SCS - ROSE Club Champions,2/16/15,50 BR SCY Male,2012-2016 A,Prelim 31st
35.97,Jason Kim,Irvine Novaquatics,2014 CA NOVAmber Intrasquad Me,11/16/14,50 BR SCY Male,2012-2016 A,Final 4th
36.55,Jason Kim,Irvine Novaquatics,2014 CA PST/SCS Winter Age Gro,12/14/14,50 BR SCY Male,2012-2016 A,Final 16th
36.86,Jason Kim,Irvine Novaquatics,2014 CA NOVA Back-to-School Me,9/20/14,50 BR SCY Male,2012-2016 A,Final 15th
37.73,Jason Kim,Irvine Novaquatics,"2014 CA GSC ""Summer JOMax"" SCY",7/18/14,50 BR SCY Male,2012-2016 BB,Final 2nd
43.22,Jason Kim,Irvine Novaquatics,2014 CA AZOT Blue Champs,2/7/14,50 BR SCY Male,2012-2016 BB,Final 4th
43.9,Jason Kim,Irvine Novaquatics,"2013 CA GWSC ""BRW"" 12-12",12/7/13,50 BR SCY Male,2012-2016 BB,Final 1st
44.86,Jason Kim,Irvine Novaquatics,2013 CA SCS/PSP Winter Age Gro,12/13/13,50 BR SCY Male,2012-2016 BB,Final 36th
45.65,Jason Kim,Irvine Novaquatics,2013 CA NOVAmber Intrasquad Me,11/16/13,50 BR SCY Male,2012-2016 BB,Final 89th
47.15,Jason Kim,Irvine Novaquatics,2013 CA NOVA OCSL June Meet,6/15/13,50 BR SCY Male,2012-2016 BB,Final 5th
48.07,Jason Kim,Irvine Novaquatics,2013 CA OCSL July Meet-2,7/27/13,50 BR SCY Male,2012-2016 B,Final 5th
52.72,Jason Kim,Irvine Novaquatics,2013 CA OCSL April Short Course,4/20/13,50 BR SCY Male,2012-2016 B,Final 9th
01:02.3,Jason Kim,Irvine Novaquatics,Bulldog Pentatlhon,10/15/22,100 BR SCY Male,"""Slower than B""",Final 4th
01:02.3,Jason Kim,Unattached,Chapman vs. College of Idaho,2/3/24,100 BR SCY Male,"""Slower than B""",Final 1st
01:02.5,Jason Kim,Irvine Novaquatics,2019 CA SRS Championships,11/17/19,100 BR SCY Male,2016-2020 AA,Final 35th
01:04.0,Jason Kim,Unattached,Bulldog Pentathlon,10/7/23,100 BR SCY Male,"""Slower than B""",Final 11th
01:05.0,Jason Kim,Irvine Novaquatics,2017 CA SCS All Star Swim Festival,1/29/17,100 BR SCY Male,2016-2020 AA,Final 6th
01:05.4,Jason Kim,Irvine Novaquatics,2020 CA NOVA Sept Quarantine-NSV,9/11/20,100 BR SCY Male,"""BB""",Final 6th
01:05.4,Jason Kim,Irvine Novaquatics,2018 PN Pacific Coast All Star Meet,1/7/18,100 BR SCY Male,2016-2020 AA,Final 14th
01:05.6,Jason Kim,Irvine Novaquatics,2016 CA NOVAMBER Intrasquad,11/13/16,100 BR SCY Male,2016-2020 AA,Final 7th
01:07.3,Jason Kim,Irvine Novaquatics,2018 CA NOVA 'Back to School',9/22/18,100 BR SCY Male,2016-2020 BB,Final 30th
01:09.1,Jason Kim,Irvine Novaquatics,2016 CA NOVA Back to School,9/17/16,100 BR SCY Male,2016-2020 A,Final 4th
01:09.3,Jason Kim,Irvine Novaquatics,2017 CA NOVA v ROSE14un DUAL,2/4/17,100 BR SCY Male,2016-2020 A,Final 4th
01:11.4,Jason Kim,Irvine Novaquatics,2016 CA CANY Q Meet,2/13/16,100 BR SCY Male,2012-2016 AAA,Final 8th
01:12.5,Jason Kim,Irvine Novaquatics,2016 CA CANY Q Meet,2/13/16,100 BR SCY Male,2012-2016 AA,Prelim 8th
01:12.6,Jason Kim,Irvine Novaquatics,2017 CA NOVA Back to School Meet,9/16/17,100 BR SCY Male,2016-2020 BB,Final 7th
01:14.6,Jason Kim,Irvine Novaquatics,2015 CA NOVA IMX Meet,10/24/15,100 BR SCY Male,2012-2016 AA,Final 10th
01:18.7,Jason Kim,Irvine Novaquatics,2014 CA NOVA Back-to-School Me,9/21/14,100 BR SCY Male,2012-2016 A,Final 26th
01:19.8,Jason Kim,Irvine Novaquatics,2014 CA NOVAmber Intrasquad Me,11/15/14,100 BR SCY Male,2012-2016 BB,Final 10th
01:23.2,Jason Kim,Irvine Novaquatics,"2014 CA GSC ""Summer JOMax"" SCY",7/18/14,100 BR SCY Male,2012-2016 BB,Final 1st
01:36.7,Jason Kim,Irvine Novaquatics,2014 CA NOVA February BRW Meet,2/22/14,100 BR SCY Male,2012-2016 BB,Final 53rd
01:45.2,Jason Kim,Irvine Novaquatics,2013 CA NOVA BRW Short Course Mee,7/13/13,100 BR SCY Male,2012-2016 B,Final 14th
02:19.2,Jason Kim,Irvine Novaquatics,2018 CA NOVA IMX,10/20/18,200 BR SCY Male,2016-2020 A,Final 11th
02:25.7,Jason Kim,Irvine Novaquatics,2017 CA NOVA March SC 'Blue' Meet,3/4/17,200 BR SCY Male,2016-2020 AA,Final 4th
02:27.4,Jason Kim,Irvine Novaquatics,2021 CA NOVA January Racing Day,1/30/21,200 BR SCY Male,"""BB""",Final 21st
02:28.8,Jason Kim,Irvine Novaquatics,2016 CA NOVA IMX Meet,10/22/16,200 BR SCY Male,2016-2020 A,Final 26th
02:32.3,Jason Kim,Irvine Novaquatics,2017 CA NOVA January 'Blue' Meet,1/8/17,200 BR SCY Male,2016-2020 A,Final 4th
02:36.5,Jason Kim,Irvine Novaquatics,2017 CA NOVA Race Series,10/8/17,200 BR SCY Male,2016-2020 BB,Final 7th
23.9,Jason Kim,Irvine Novaquatics,Mt. Sac v Chapman,10/30/22,50 FL SCY Male,"""Slower than B""",Final 2nd
24.48,Jason Kim,Irvine Novaquatics,2018 CA NOVA 'Back to School',9/23/18,50 FL SCY Male,"""Slower than B""",Final 8th
25.52,Jason Kim,Irvine Novaquatics,2016 CA NOVA Back to School,9/17/16,50 FL SCY Male,"""Slower than B""",Final 1st
26.25,Jason Kim,Irvine Novaquatics,2017 CA NOVA Back to School Meet,9/16/17,50 FL SCY Male,"""Slower than B""",Final 4th
26.49,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,4/1/16,50 FL SCY Male,2012-2016 AAAA,Final 5th
26.85,Jason Kim,Irvine Novaquatics,2016 PC PLS SPEEDO FAR WESTERNS,4/1/16,50 FL SCY Male,2012-2016 AAAA,Prelim 4th
26.96,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/5/15,50 FL SCY Male,2012-2016 AAAA,Final 1st
27.28,Jason Kim,Irvine Novaquatics,2016 CA CANY Q Meet,2/15/16,50 FL SCY Male,2012-2016 AAA,Final 2nd
27.28,Jason Kim,Irvine Novaquatics,2016 CA CANY Q Meet,2/15/16,50 FL SCY Male,2012-2016 AAA,Prelim 2nd
27.33,Jason Kim,Irvine Novaquatics,2016 CA STAR League Finale,2/6/16,50 FL SCY Male,2012-2016 AAA,Final 1st
27.41,Jason Kim,Irvine Novaquatics,2015 CA December Club Championshi,12/5/15,50 FL SCY Male,2012-2016 AAA,Prelim 3rd
27.47,Jason Kim,Irvine Novaquatics,2016 OR Pacific Coast All Star,1/9/16,50 FL SCY Male,2012-2016 AAA,Final 2nd
27.82,Jason Kim,Irvine Novaquatics,2015 CA SCS - ROSE Club Champions,2/15/15,50 FL SCY Male,2012-2016 AAA,Final 6th
28.15,Jason Kim,Irvine Novaquatics,2015 CA SCS - ROSE Club Champions,2/15/15,50 FL SCY Male,2012-2016 AAA,Prelim 7th
28.31,Jason Kim,Irvine Novaquatics,2015 CA NOVA Back-to-School Me,9/19/15,50 FL SCY Male,2012-2016 AAA,Final 5th
28.61,Jason Kim,Irvine Novaquatics,2015 CA NOVA v ROSE,10/3/15,50 FL SCY Male,2012-2016 AAA,Final 2nd
29.7,Jason Kim,Irvine Novaquatics,2015 CA NOVA January Intrasqua,1/10/15,50 FL SCY Male,2012-2016 AA,Final 3rd
36.72,Jason Kim,Irvine Novaquatics,2014 CA NOVA February BRW Meet,2/22/14,50 FL SCY Male,2012-2016 BB,Final 38th
38.81,Jason Kim,Irvine Novaquatics,2013 CA NOVAmber Intrasquad Me,11/16/13,50 FL SCY Male,2012-2016 BB,Final 85th
44.82,Jason Kim,Irvine Novaquatics,2013 CA NOVA OCSL June Meet,6/15/13,50 FL SCY Male,2012-2016 B,Final 4th
47.06,Jason Kim,Irvine Novaquatics,2013 CA OCSL April Short Course,4/20/13,50 FL SCY Male,"""Slower than B""",Final 8th
50.49,Jason Kim,Irvine Novaquatics,2022 SI CA NV TT SPEEDO SECTIONAL,3/5/22,100 FL SCY Male,2022 Futures (LCM),Final 2nd
50.95,Jason Kim,Irvine Novaquatics,2023 Southern California Championships,2/17/23,100 FL SCY Male,2023 Futures (LCM),Prelim 15th
51.1,Jason Kim,Irvine Novaquatics,2021 CA SCS Race Series Champs,11/21/21,100 FL SCY Male,"""AAA""",Final 9th
51.11,Jason Kim,Unattached,2022 CA OB CIF-SS Division 1,5/4/22,100 FL SCY Male,"""AAA""",Prelim 18th
51.14,Jason Kim,Unattached,2021 CA OB CIF-SS Pacific Coast League,5/19/21,100 FL SCY Male,"""AAA""",Prelim 2nd
51.14,Jason Kim,Irvine Novaquatics,2023 Southern California Championships,2/17/23,100 FL SCY Male,"""Slower than B""",Final 14th
51.16,Jason Kim,Irvine Novaquatics,2021 CA NOVA June AG Closed Invite,6/20/21,100 FL SCY Male,"""AAA""",Final 1st
51.23,Jason Kim,Unattached,2021 CA OB CIF-SS Pacific Coast League,5/19/21,100 FL SCY Male,"""AAA""",Final 3rd
51.35,Jason Kim,Unattached,2021 CA OB CIF-SS Division 1,5/27/21,100 FL SCY Male,"""AAA""",Final 14th
51.39,Jason Kim,Irvine Novaquatics,2022 CA NOVA President's Day Sr,2/19/22,100 FL SCY Male,"""AAA""",Prelim
51.4,Jason Kim,Unattached,2022 CA OB CIF-SS Spring HS MOC Invite,4/15/22,100 FL SCY Male,"""AAA""",Final 5th
51.42,Jason Kim,Unattached,2022 CA OB CIF-SS Spring HS MOC Invite,4/15/22,100 FL SCY Male,"""AAA""",Prelim 5th
51.5,Jason Kim,Irvine Novaquatics,2021 CA Dec CA NV Speedo Sectionals,12/19/21,100 FL SCY Male,"""AAA""",Final 2nd
51.5,Jason Kim,Irvine Novaquatics,2021 CA Kevin B Perry Senior,11/6/21,100 FL SCY Male,"""AAA""",Prelim 44th
51.54,Jason Kim,Irvine Novaquatics,Chapman at Occidental,2/4/23,100 FL SCY Male,"""Slower than B""",Final 1st
51.58,Jason Kim,Irvine Novaquatics,2021 CA NOVA June AG Closed Invite,6/20/21,100 FL SCY Male,"""AAA""",Prelim 1st
51.61,Jason Kim,Irvine Novaquatics,2021 CA SCS Sr Nov Open Invite,11/20/21,100 FL SCY Male,"""AAA""",Final 1st
51.73,Jason Kim,Irvine Novaquatics,PP and Whittier at Chapman,11/5/22,100 FL SCY Male,"""Slower than B""",Final 2nd
51.84,Jason Kim,Unattached,2024 SCIAC Champs,2/24/24,100 FL SCY Male,"""Slower than B""",Prelim 21st
51.91,Jason Kim,Irvine Novaquatics,Chapman at Cal Lutheran,1/14/23,100 FL SCY Male,"""Slower than B""",Final 1st
52.03,Jason Kim,Irvine Novaquatics,2019 CA SRS Champs Time Trials,11/16/19,100 FL SCY Male,2016-2020 AAA,Final 2nd
52.1,Jason Kim,Irvine Novaquatics,2022 CA RMDA Road to 2022 SCY Prelims,1/16/22,100 FL SCY Male,"""AA""",Prelim 11th
52.13,Jason Kim,Irvine Novaquatics,2019 Sectionals - Carlsbad,3/1/19,100 FL SCY Male,2016-2020 AAA,Prelim 75th
52.19,Jason Kim,Irvine Novaquatics,2019 CA SRS Championships,11/16/19,100 FL SCY Male,2016-2020 AAA,Final 25th
52.26,Jason Kim,Irvine Novaquatics,Chapman/Caltech at CMS,11/12/22,100 FL SCY Male,"""Slower than B""",Final 4th
52.3,Jason Kim,Irvine Novaquatics,Redlands v. Chapman,1/28/23,100 FL SCY Male,"""Slower than B""",Final 1st
52.33,Jason Kim,Irvine Novaquatics,Bulldog Pentatlhon,10/15/22,100 FL SCY Male,"""Slower than B""",Final 1st
52.37,Jason Kim,Irvine Novaquatics,Mt. Sac v Chapman,10/30/22,100 FL SCY Male,"""Slower than B""",Final 2nd
52.42,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Ser Champs,5/8/21,100 FL SCY Male,"""AA""",Final 4th
52.57,Jason Kim,Unattached,Chapman vs. Cal Tech and Pomona-Pitzer,1/27/24,100 FL SCY Male,"""Slower than B""",Final 8th
52.7,Jason Kim,Irvine Novaquatics,2020 Sectionals - Carlsbard,2/28/20,100 FL SCY Male,2016-2020 AAA,Prelim 107th
52.83,Jason Kim,Irvine Novaquatics,2021 CA SCS Srs #3 AZOT-NOVA1,10/24/21,100 FL SCY Male,"""AA""",Final 2nd
52.93,Jason Kim,Irvine Novaquatics,2019 CA SRS ROSE-NOVA#2,10/20/19,100 FL SCY Male,2016-2020 AAA,Final 3rd
52.94,Jason Kim,Unattached,Chapman vs Biola and Concordia,12/2/23,100 FL SCY Male,"""Slower than B""",Final 4th
52.99,Jason Kim,Irvine Novaquatics,2019 CA CA-NV Dec Speedo Sectionals,12/14/19,100 FL SCY Male,2016-2020 AAA,Prelim 52nd
53.06,Jason Kim,Irvine Novaquatics,2018 CA NOVA Senior,11/18/18,100 FL SCY Male,2016-2020 AAA,Final 3rd
53.18,Jason Kim,Irvine Novaquatics,2018 CA NOVA Senior Intrasquad,2/17/18,100 FL SCY Male,2016-2020 AAAA,Final 3rd
53.21,Jason Kim,Irvine Novaquatics,2021 AZ MAC March Madness,3/13/21,100 FL SCY Male,"""AA""",Final 18th
53.23,Jason Kim,Irvine Novaquatics,2019 CA MVN Sr Q Qualifier,1/20/19,100 FL SCY Male,2016-2020 AAA,Final 11th
53.28,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Series 2,4/9/21,100 FL SCY Male,"""AA""",Final 2nd
53.56,Jason Kim,Irvine Novaquatics,2021 AZ MAC March Madness,3/13/21,100 FL SCY Male,"""AA""",Prelim 20th
53.63,Jason Kim,Irvine Novaquatics,2021 CA NOVA February Senior Intra,2/27/21,100 FL SCY Male,"""AA""",Final 9th
53.67,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Series 3,4/24/21,100 FL SCY Male,"""AA""",Final 2nd
53.75,Jason Kim,Irvine Novaquatics,2021 CA SCS SR#1 CANY-NOVA 1,9/19/21,100 FL SCY Male,"""AA""",Final 3rd
53.77,Jason Kim,Unattached,Redlands v. Chapman,11/10/23,100 FL SCY Male,"""Slower than B""",Final 4th
53.93,Jason Kim,Irvine Novaquatics,2018 CA SCY Armada Sr Meet,1/13/18,100 FL SCY Male,2016-2020 AAA,Final 11th
54.03,Jason Kim,Irvine Novaquatics,2021 CA NOVA Sr Race Series 1,3/27/21,100 FL SCY Male,"""AA""",Final 4th
54.2,Jason Kim,Irvine Novaquatics,2017 CA Kevin B. Perry Senior Invitational,11/4/17,100 FL SCY Male,2016-2020 AAA,Prelim 102nd
54.21,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/10/17,100 FL SCY Male,2016-2020 AAA,Final 2nd
54.26,Jason Kim,Irvine Novaquatics,2018 CA PST/SCS WAG,12/9/18,100 FL SCY Male,2016-2020 AA,Prelim 9th
54.33,Jason Kim,Irvine Novaquatics,2017 CA SBSC/SCS Winter Age Group Champs,12/10/17,100 FL SCY Male,2016-2020 AAA,Prelim 2nd
54.39,Jason Kim,Irvine Novaquatics,2018 CA NOVA 'Back to School',9/22/18,100 FL SCY Male,2016-2020 AA,Final 10th
54.45,Jason Kim,Unattached,Chapman vs. Occidental and Colorado College,1/13/24,100 FL SCY Male,"""Slower than B""",Final 6th
54.69,Jason Kim,Unattached,Bulldog Pentathlon,10/7/23,100 FL SCY Male,"""Slower than B""",Final 14th
54.78,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/18/17,100 FL SCY Male,2016-2020 AAA,Final 7th
54.94,Jason Kim,Irvine Novaquatics,2019 CA SRS NOVA#2-RMDA,9/22/19,100 FL SCY Male,2016-2020 AA,Final
55.1,Jason Kim,Irvine Novaquatics,2019 CA SRS NOVA#2-CANY,10/6/19,100 FL SCY Male,2016-2020 AA,Final 4th
55.19,Jason Kim,Irvine Novaquatics,2020 CA Super Sunday NOVA-ROSE,2/2/20,100 FL SCY Male,2016-2020 AA,Final 10th
55.29,Jason Kim,Irvine Novaquatics,2017 CA SCS 14-UN SCY JO Champs + TT,3/18/17,100 FL SCY Male,2016-2020 AAA,Prelim 8th
55.53,Jason Kim,Irvine Novaquatics,2020 CA Orange-Metro-Pacific Sr Q Qualifier,1/19/20,100 FL SCY Male,2016-2020 AA,Final 13th
55.61,Jason Kim,Irvine Novaquatics,2021 CA NOVA President's Day,2/13/21,100 FL SCY Male,"""A""",Final 11th
55.7,Jason Kim,Irvine Novaquatics,2017 CA NOVA March SC 'Blue' Meet,3/5/17,100 FL SCY Male,2016-2020 AAA,Final 1st
